date,block ,row ,col ,pop ,mf ,rep ,pheno ,diam_mm ,height_cm ,total_branch ,herb_dam ,wilt_status ,longest_leaf_cm ,flowers ,fruits ,longest_ fruit_cm ,repro_ branch ,notes ,,
5/22/23,D2 ,37,C ,SQ1 ,7,4,X,,,,,,,,,,,,,
5/22/23,D2 ,37,D ,LV3 ,5,11,X,,,,,,,,,,,,,
5/22/23,D2 ,38,C ,YO7 ,2,10,X,,,,,,,,,,,,,
5/22/23,D2 ,38,D ,SC ,2,1,X,,,,,,,,,,,,,
5/22/23,D2 ,39,C ,WL1 ,7,16,X,,,,,,,,,,,,,
5/22/23,D2 ,39,D ,WL1 ,6,21,X,,,,,,,,,,,,,
5/22/23,D2 ,40,C, TM2,2,1,X,,,,,,,,,,,,,
5/22/23,D2 ,40,D ,YO7 ,7,11,X,,,,,,,,,,,,,
5/22/23,D2 ,41,C ,WL1 ,7,2,X,,,,,,,,,,,,,
5/22/23,D2 ,41,D ,IH ,2,9,X,,,,,,,,,,,,,
5/22/23,D2 ,42,C ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,42,D ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,43,C ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,43,D ,buffer ,,,,,,,,,,,,,,,,
5/22/23,F1 ,1,A ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,1,B ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,2,A ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,2,B ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F1 ,3,A ,LV1 ,6,6,X,,,,,,,,,,,,,
5/22/23,F1 ,3,B ,CP2 ,5,13,X,,,,,,,,,,,,,
5/22/23,F1 ,4,A ,SQ2 ,6,4,X,,,,,,,,,,,,,
5/22/23,F1 ,4,B ,SQ3 ,3,4,X,,,,,,,,,,,,,
5/22/23,F1 ,5,A ,WL1 ,4,2,X,,,,,,,,,,,,,
5/22/23,F1 ,5,B ,LVTR1 ,6,12,X,,,,,,,,,,,,,
5/22/23,F1 ,6,A ,CP2 ,4,4,X,,,,,,,,,,,,,
5/22/23,F1 ,6,B ,WL2 ,4,1,X,,,,,,,,,,,,,
5/22/23,F1 ,7,A ,LV3 ,1,8,X,,,,,,,,,,,,,
5/22/23,F1 ,7,B ,IH ,4,20,X,,,,,,,,,,,,,
5/22/23,F1 ,8,A ,TM2 ,2,2,X,,,,,,,,,,,,,
5/22/23,F1 ,8,B ,SC ,5,13,X,,,,,,,,,,,,,
5/22/23,F1 ,9,A ,DPR ,2,5,X,,,,,,,,,,,,,
5/22/23,F1 ,9,B ,YO8 ,2,11,X,,,,,,,,,,,,,
5/22/23,F1 ,10,A ,BH ,7,19,X,,,,,,,,,,,,,
5/22/23,F1 ,10,B ,WL1 ,1,5,X,,,,,,,,,,,,,
5/22/23,F1 ,11,A ,FR ,5,9,X,,,,,,,,,,,,,
5/22/23,F1 ,11,B ,WL1 ,2,12,X,,,,,,,,,,,,,
5/22/23,F1 ,12,A ,CC ,6,3,X,,,,,,,,,,,,,
5/22/23,F1 ,12,B ,TM2 ,1,3,X,,,,,,,,,,,,,
5/22/23,F1 ,13,A ,SC ,6,12,X,,,,,,,,,,,,,
5/22/23,F1 ,13,B ,WL1 ,7,27,X,,,,,,,,,,,,,
5/22/23,F1 ,14,A ,IH ,4,12,X,,,,,,,,,,,,,
5/22/23,F1 ,14,B ,WL1 ,7,17,X,,,,,,,,,,,,,
5/22/23,F1 ,15,A ,BH ,6,9,V ,19.62,75.1,4,Y,N ,9.2,0,0,0,0,,,
5/22/23,F1 ,15,B ,SQ1 ,1,12,X,,,,,,,,,,,,,
5/22/23,F1 ,16,A ,WL1 ,2,2,X,,,,,,,,,,,,,
5/22/23,F1 ,16,B ,FR ,2,4,X,,,,,,,,,,,,,
5/22/23,F1 ,17,A ,WL1 ,6,22,X,,,,,,,,,,,,,
5/22/23,F1 ,17,B ,BH ,2,10,X,,,,,,,,,,,,,
5/22/23,F1 ,18,A ,WL1 ,5,8,X,,,,,,,,,,,,,
5/22/23,F1 ,18,B ,WL1 ,1,22,X,,,,,,,,,,,,,
5/22/23,F1 ,19,A ,WL2 ,5,11,X,,,,,,,,,,,,,
5/22/23,F1 ,19,B ,WL2 ,1,1,X,,,,,,,,,,,,,
5/22/23,F1 ,20,A ,LV3 ,7,2,X,,,,,,,,,,,,,
5/22/23,F1 ,20,B ,CC ,2,4,X,,,,,,,,,,,,,
5/22/23,F1 ,21,A ,CC ,4,13,X,,,,,,,,,,,,,
5/22/23,F1 ,21,B ,LV3 ,5,12,X,,,,,,,,,,,,,
5/22/23,F2 ,22,A ,WL1 ,7,18,X,,,,,,,,,,,,,
5/22/23,F2 ,22,B ,buffer ,,,X,,,,,,,,,,,,,
5/22/23,F2 ,23,A ,WL1 ,2,3,X,,,,,,,,,,,,,
5/22/23,F2 ,23,B ,CP3 ,7,1,X,,,,,,,,,,,,,
5/22/23,F2 ,24,A ,TM2 ,3,13,X,,,,,,,,,,,,,
5/22/23,F2 ,24,B ,LVTR1 ,5,13,X,,,,,,,,,,,,,
5/22/23,F2 ,25,A ,YO8 ,1,10,X,,,,,,,,,,,,,
5/22/23,F2 ,25,B ,WL1 ,6,7,X,,,,,,,,,,,,,
5/22/23,F2 ,26,A ,SQ1 ,1,13,X,,,,,,,,,,,,,
5/22/23,F2 ,26,B ,WR ,1,11,X,,,,,,,,,,,,,
5/22/23,F2 ,27,A ,BH ,7,7,X,,,,,,,,,,,,,
5/22/23,F2 ,27,B ,WL2 ,3,13,V ,6.2,6.4,7,N ,N ,3.3,0,0,0,0,,,
5/22/23,F2 ,28,A ,BH ,5,2,X,,,,,,,,,,,,,
5/22/23,F2 ,28,B,WL1 ,6,23,X,,,,,,,,,,,,,
5/22/23,F2 ,29,A ,FR ,8,1,X,,,,,,,,,,,,,
5/22/23,F2 ,29,B ,BH ,4,5,V ,9.75,23.2,3,N ,N ,7.3,0,0,0,0,,,
5/22/23,F2 ,30,A ,YO7 ,4,4,X,,,,,,,,,,,,,
5/22/23,F2 ,30,B ,WL1 ,7,28,X,,,,,,,,,,,,,
5/22/23,F2 ,31,A ,CC ,7,8,X,,,,,,,,,,,,,
5/22/23,F2 ,31,B ,SC ,6,1,X,,,,,,,,,,,,,
5/22/23,F2 ,32,A ,DPR ,6,2,X,,,,,,,,,,,,,
5/22/23,F2 ,32,B ,LV3 ,5,1,X,,,,,,,,,,,,,
5/22/23,F2 ,33,A ,IH ,1,12,X,,,,,,,,,,,,,
5/22/23,F2 ,33,B ,WL1 ,4,3,X,,,,,,,,,,,,,
5/22/23,F2 ,34,A ,IH ,4,13,X,,,,,,,,,,,,,
5/22/23,F2 ,34,B ,YO7 ,5,5,X,,,,,,,,,,,,,
5/22/23,F2 ,35,A ,LV3 ,7,3,X,,,,,,,,,,,,,
5/22/23,F2 ,35,B ,WL1 ,1,23,X,,,,,,,,,,,,,
5/22/23,F2 ,36,A ,FR ,2,12,X,,,,,,,,,,,,,
5/22/23,F2 ,36,B ,CP2 ,3,5,X,,,,,,,,,,,,,
5/22/23,F2 ,37,A ,LV3 ,4,13,X,,,,,,,,,,,,,
5/22/23,F2 ,37,B ,SQ1 ,7,14,X,,,,,,,,,,,,,
5/22/23,F2 ,38,A ,CP2 ,6,4,X,,,,,,,,,,,,,
5/22/23,F2 ,38,B ,SC ,4,1,X,,,,,,,,,,,,,
