order ,block,row,column,pop,mf,rep,death date,Notes,,
368,H1,12,B,FR,2,8,,,,
369,H1,13,A,LVTR1,3,10,,,,
370,H1,13,B,CP2,3,3,,1/12 new germ,,
371,H1,14,A,BH,5,3,,,,
372,H1,14,B,WL1,5,11,,,,
373,H1,15,A,CP2,8,1,2/17/23,crispy,,
374,H1,15,B,CC,3,3,,,,
375,H1,16,A,CC,4,10,,,,
376,H1,16,B,CC,6,6,2/17/23,wilted broken stem,,
377,H1,17,A,BH,4,6,,,,
378,H1,17,B,DPR,5,2,,,,
379,H1,18,A,FR,1,11,,,,
380,H1,18,B,BH,5,18,,,,
381,H1,19,A,TM2,5,1,,,,
382,H1,19,B,SQ1,7,7,2/17/23,crispy,,
383,H1,20,A,FR,6,3,,,,
384,H1,20,B,IH,1,9,,,,
385,H2,21,A,CC,3,5,2/17/23,crispy,,
386,H2,21,B,buffer,,,,,,
387,H2,22,A,SQ2,8,3,2/10/23,wilted / Stem rot,,
388,H2,22,B,IH,1,11,1/6/23,1/6 new gem; 1/20/23 germ gone,,
389,H2,23,A,YO7,2,3,,,,
390,H2,23,B,WL1,1,15,,,,
391,H2,24,A,WR,1,1,2/17/23,crispy,,
392,H2,24,B,BH,5,29,,,,
393,H2,25,A,IH,4,5,,,,
394,H2,25,B,WL1,7,20,2/10/23,wilted/stem rot,,
395,H2,26,A,DPR,4,13,2/17/23,wilted stem broken,,
396,H2,26,B,LV3,1,14,,,,
397,H2,27,A,BH,5,4,,,,
398,H2,27,B,SQ1,4,2,2/17/23,crispy,,
399,H2,28,A,WL1,1,8,1/27/23,shriveled 2/3/23 new growth,,
400,H2,28,B,SC,5,4,,,,
401,H2,29,A,IH,7,14,,,,
402,H2,29,B,BH,5,19,,,,
403,H2,30,A,WL1,2,5,1/12/23,wilted/waterlogged,,
404,H2,30,B,WL1,1,25,,,,
405,H2,31,A,SQ1,7,8,,,,
406,H2,31,B,YO8,3,6,,,,
407,H2,32,A,YO11,2,3,1/12/23,gone,,
408,H2,32,B,SQ2,1,13,2/10/23,root rot,,
409,H2,33,A,BH,3,10,2/3/23,brown,root rot,
410,H2,33,B,BH,4,7,,,,
411,H2,34,A,SC,4,3,2/17/23,crispy,,
412,H2,34,B,CC,4,7,,,,
413,H2,35,A,TM2,5,5,,,,
414,H2,35,B,CC,6,5,1/12/23,gone,,
415,H2,36,A,LV3,1,1,1/6/23,gone,,
416,H2,36,B,TM2,3,1,,,,
417,H2,37,A,LV3,6,4,2/17/23,cris py,,
418,H2,37,B,FR,6,7,2/17/23,crispy,,
419,H2,38,A,CP3,5,9,2/3/23,brown,root rot,
420,H2,38,B,FR,3,5,2/17/23,crispy,,
421,H2,39,A,BH,7,9,2/10/23,wilted/stem rot,,
422,H2,39,B,BH,6,2,2/17/23,crispy,,
423,H2,40,A,buffer,,,,,,
424,H2,40,B,buffer,,,,,,
425,H2,41,A,buffer,,,,,,
426,H2,41,B,buffer,,,,,,
427,H1,1,C,buffer,,,,,,
428,H1,1,D,buffer,,,,,,
429,H1,2,C,buffer,,,,,,
430,H1,2,D,buffer,,,,,,
