block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb_ dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes 
M1 ,2,A ,YO7 ,3,3,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,2,B ,WL2 ,4,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,3,A ,CC ,6,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,3,B ,FR ,4,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,4,A ,LV1 ,4,8,X ,,,,,,,,,,,no plant 
M1 ,4,B ,CP3 ,7,10,X ,,,,,,,,,,,no plant 
M1 ,5,A ,DPR ,5,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,5,B ,LV3 ,5,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,6,A ,YO4 ,4,11,V ,13.02,22.9,8,Y ,N ,3.4,,,,0,
M1 ,6,B ,YO11 ,3,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,7,A ,SC ,1,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,7,B ,WV ,3,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,8,A ,LVTR1 ,5,5,X ,,,,,,,,,,,no plant 
M1 ,8,B ,TM2 ,6,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,9,A ,YO11 ,7,8,X ,,,,,,,,,,,no plant 
M1 ,9,B ,LV1 ,5,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,10,A ,YO7 ,7,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,10,B ,WL2 ,6,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,11,A ,IH ,2,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,11,B ,CP2 ,4,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,12,A ,FR ,5,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,12,B ,SQ3 ,5,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,13,A ,SQ1 ,5,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,13,B ,LV3 ,4,11,X ,,,,,D ,,,,,,
M1 ,14,A ,WV ,7,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,14,B ,SQ3 ,1,6,X,,,,,,,,,,,
M1 ,15,A ,LV1 ,3,3,V ,4.99,6.6,2,Y ,SW ,3.8,,,,0,
M1 ,15,B ,WV ,6,3,X ,,,,,,,,,,,no plant 
M1 ,16,A ,YO4 ,7,5,X ,,,,,D ,,,,,,
M1 ,16,B ,WV ,1,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,17,A ,LVTR1 ,2,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,17,B ,LV1 ,7,3,X ,,,,,,,,,,,no plant 
M1 ,18,A ,YO4 ,6,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,18,B ,TM2 ,3,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,19,A ,WL1 ,5,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,19,B ,SQ3 ,4,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,20,A ,IH ,5,2,X ,,,,,,,,,,,no plant 
M1 ,20,B ,SQ3 ,7,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,21,A ,SQ3 ,2,14,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,21,B ,WV ,4,13,X ,,,,,,,,,,,no plant 
M1 ,22,A ,YO8 ,4,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,22,B ,LVTR1 ,4,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,23,A ,FR ,7,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,23,B ,SQ3 ,7,12,V ,,12.2,6,Y ,N ,5.6,,,,0,bushy 
M2 ,24,A ,SQ3 ,5,3,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,24,B ,TM2 ,5,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,25,A ,SQ2 ,2,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,25,B ,SQ3 ,3,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,26,A ,SQ1 ,4,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,26,B ,CC ,5,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,27,A ,WV ,3,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,27,B ,YO4 ,5,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,28,A ,SQ1 ,5,12,X ,,,,,,,,,,,no plant 
M2 ,28,B ,YO7 ,2,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,29,A ,SC ,7,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,29,B ,YO4 ,4,1,X ,,,,,,,,,,,no plant 
M2 ,30,A ,CP2 ,5,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,30,B ,SC ,2,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,31,A ,LVTR1 ,2,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,31,B ,SQ2 ,1,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,32,A ,LV1 ,1,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,32,B ,YO8 ,5,6,X ,,,,,,,,,,,no plant 
M2 ,33,A ,WV ,5,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,33,B ,FR ,2,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,34,A ,YO8 ,6,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,34,B ,SQ2 ,7,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,35,A ,YO7 ,3,12,X ,,,,,,,,,,,no plant 
M2 ,35,B ,YO8 ,4,3,X ,,,,,,,,,,,no plant 
M2 ,36,A ,FR ,3,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,36,B ,WR ,1,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,37,A ,LV3 ,3,11,X ,,,,,,,,,,,no plant 
M2 ,37,B ,YO8 ,2,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,38,A ,WL1 ,5,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,38,B ,SQ3 ,6,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,39,A ,YO7 ,1,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,39,B ,CP3 ,4,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,40,A ,WL2 ,7,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,40,B ,WL2 ,6,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,41,A ,SQ1 ,3,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,41,B ,IH ,3,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,42,A ,LVTR1 ,4,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,42,B ,CC ,4,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,43,A ,CP2 ,7,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,43,B ,WV ,1,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,44,A ,SC ,3,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M2 ,44,B ,DPR ,3,4,X ,,,,,,,,,,,no plant 
M1 ,1,C ,CP2 ,1,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,1,D ,LVTR1 ,7,3,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,2,C ,CP3 ,2,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,2,D ,SQ2 ,2,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,3,C ,CC ,3,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,3,D ,CP2 ,2,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,4,C ,LV1 ,1,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,4,D ,YO4 ,2,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,5,C ,DPR ,7,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,5,D ,CP3 ,5,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,6,C ,WL2 ,7,12,V ,7.84,17.4,3,Y ,N ,4.1,,,,0,
M1 ,6,D ,DPR ,1,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,7,C ,YO4 ,3,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,7,D ,SQ2 ,3,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,8,C ,YO7 ,1,8,V ,,6.3,6,Y ,N ,1.7,,,,0,bushy 
M1 ,8,D ,IH ,6,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,9,C ,YO11 ,1,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,9,D ,SQ2 ,7,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,10,C ,TM2 ,4,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,10,D ,CP2 ,6,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,11,C ,WR ,2,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,11,D ,IH ,1,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,12,C ,YO7 ,4,9,X ,,,,,D ,,,,,,
M1 ,12,D ,WV ,2,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,13,C ,SQ2 ,4,11,V ,5.9,3.9,7,Y ,W ,2.6,,,,0,
M1 ,13,D ,WL2 ,2,8,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,14,C ,FR ,1,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,14,D ,CP3 ,6,5,V,7,10.2,,Y,N,4.7,n/a ,,,0,bushy 
M1 ,15,C ,DPR ,3,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,15,D ,SC ,3,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,16,C ,YO8 ,3,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,16,D ,LVTR1 ,1,4,X ,,,,,D ,,,,,,
M1 ,17,C ,YO11 ,5,11,X ,,,,,,,,,,,no plant 
M1 ,17,D ,SQ3 ,2,9,X ,,,,,,,,,,,no plant 
M1 ,18,C ,YO8 ,5,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,18,D ,SQ1 ,6,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,19,C ,SC ,6,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,19,D ,CP3 ,1,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,20,C ,CP3 ,3,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,20,D ,YO8 ,1,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,21,C ,SQ1 ,3,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,21,D ,TM2 ,7,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
M1 ,22,C ,CC ,1,3,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
