survey date,block ,row ,col ,pop ,mf ,rep ,height (cm) ,longest leaf (cm) ,herbivory (Y or N) ,wilting status ,notes 
5/15/2023,B2 ,43,C ,CP3 ,1,1,,,,,
5/15/2023,B2 ,43,D ,TM2 ,6,8,,,,,
5/15/2023,B2 ,44,C ,YO7 ,3,2,,,,,
5/15/2023,B2 ,44,D ,CP2 ,6,7,,,,,
5/15/2023,C1 ,1,A ,YO4 ,5,6,,,,,
5/15/2023,C1 ,1,B ,DPR ,2,1,,,,,
5/15/2023,C1 ,2,A ,SQ3 ,6,5,,,,,
5/15/2023,C1 ,2,B ,FR ,5,1,,,,,
5/15/2023,C1 ,3,A ,FR ,7,3,,,,,
5/15/2023,C1 ,3,B ,YO8 ,2,8,,,,,
5/15/2023,C1 ,4,A ,DPR ,4,7,8.4,4.4,Y,N,
5/15/2023,C1 ,4,B ,YO8 ,4,2,,,,,
5/15/2023,C1 ,5,A ,CP3 ,1,10,,,,,
5/15/2023,C1 ,5,B ,IH ,5,12,,,,,
5/15/2023,C1 ,6,A ,SQ2 ,1,5,1.5,,,D,
5/15/2023,C1 ,6,B ,YO8 ,6,9,,,,,
5/15/2023,C1 ,7,A ,CP2 ,4,2,,,,,
5/15/2023,C1 ,7,B ,LVTR1 ,7,13,,,,,
5/15/2023,C1 ,8,A ,CP2 ,2,3,,,,,
5/15/2023,C1 ,8,B ,WL1 ,5,2,,,,,
5/15/2023,C1 ,9,A ,SQ1 ,2,13,,,,,
5/15/2023,C1 ,9,B ,CP3 ,3,3,,,,,
5/15/2023,C1 ,10,A ,BH ,1,5,,,,,
5/15/2023,C1 ,10,B ,YO7 ,6,11,,,,,
5/15/2023,C1 ,11,A ,YO11 ,3,10,,,,,
5/15/2023,C1 ,11,B ,TM2 ,7,4,,,,,
5/15/2023,C1 ,12,A ,YO11 ,6,10,,,,,
5/15/2023,C1 ,12,B ,SQ3 ,2,1,,,,,
5/15/2023,C1 ,13,A ,YO11 ,2,6,,,,,
5/15/2023,C1 ,13,B ,LVTR1 ,2,1,1.3,0.6,Y,N,
5/15/2023,C1 ,14,A ,DPR ,7,13,,,,,
5/15/2023,C1 ,14,B ,LVTR1 ,6,3,2.3,2.8,N ,N,
5/15/2023,C1 ,15,A ,WL2 ,1,12,,,,,
5/15/2023,C1 ,15,B ,SQ2 ,7,11,15.4,6.3,Y ,N ,
5/15/2023,C1 ,16,A ,WR ,3,5,9.2,10.9,Y ,N ,
5/15/2023,C1 ,16,B ,WL2 ,3,3,,,,,
5/15/2023,C1 ,17,A ,YO8 ,1,3,,,,,
5/15/2023,C1 ,17,B ,LV1 ,2,8,,,,,
5/15/2023,C1 ,18,A ,LV3 ,4,5,,,,,
5/15/2023,C1 ,18,B ,IH ,2,2,,,,,
5/15/2023,C1 ,19,A ,WR ,1,12,,,,,
5/15/2023,C1 ,19,B ,YO8 ,5,5,,,,,
5/15/2023,C1 ,20,A ,LVTR1 ,4,10,,,,,
5/15/2023,C1 ,20,B ,CC ,4,12,,,,,
5/15/2023,C1 ,21,A ,WL2 ,4,13,,,,,
5/15/2023,C1 ,21,B ,SQ3 ,3,8,,,,,
5/15/2023,C1 ,22,A ,IH ,3,7,,,,,
5/15/2023,C1 ,22,B ,WV ,5,8,,,,,
5/15/2023,C2 ,23,A ,YO7 ,2,12,,,,,
5/15/2023,C2 ,23,B ,WV ,7,3,,,,,
5/15/2023,C2 ,24,A ,LV1 ,1,10,2.8,3.2,N ,N ,
5/15/2023,C2 ,24,B ,CC ,4,2,,,,,
5/15/2023,C2 ,25,A ,SC ,5,6,,,,,
5/15/2023,C2 ,25,B ,YO8 ,1,8,,,,,
5/15/2023,C2 ,26,A ,WV ,5,13,,,,,
5/15/2023,C2 ,26,B ,DPR ,1,10,,,,,
5/15/2023,C2 ,27,A ,LVTR1 ,1,1,,,,,
5/15/2023,C2 ,27,B ,YO11 ,4,4,,,,,
5/15/2023,C2 ,28,A ,LV1 ,2,13,,,,,
5/15/2023,C2 ,28,B ,CC ,5,10,,,,,
5/15/2023,C2 ,29,A ,WL1 ,5,9,,,,,
5/15/2023,C2 ,29,B ,YO7 ,7,3,,,,,
5/15/2023,C2 ,30,A ,WL2 ,3,11,,,,,
5/15/2023,C2 ,30,B ,WV ,3,5,,,,,
5/15/2023,C2 ,31,A ,FR ,7,8,,,,,
5/15/2023,C2 ,31,B ,IH ,3,12,14.7,9.2,Y,N,
5/15/2023,C2 ,32,A ,SQ3 ,6,11,,,,,
5/15/2023,C2 ,32,B ,TM2 ,6,4,,,,,
5/15/2023,C2 ,33,A ,LV1 ,6,12,,,,,
5/15/2023,C2 ,33,B ,TM2 ,7,9,,,,,
5/15/2023,C2 ,34,A ,YO7 ,4,5,,,,,
5/15/2023,C2 ,34,B ,DPR ,5,4,,,,,
5/15/2023,C2 ,35,A ,YO7 ,1,5,,,,,
5/15/2023,C2 ,35,B ,YO8 ,7,8,,,,,
5/15/2023,C2 ,36,A ,WR ,2,5,,,,,
5/15/2023,C2 ,36,B ,FR ,3,12,,,,,
5/15/2023,C2 ,37,A ,SQ3 ,5,7,,,,,
5/15/2023,C2 ,37,B ,YO11 ,1,6,,,,,
5/15/2023,C2 ,38,A ,TM2 ,5,12,,,,,
5/15/2023,C2 ,38,B ,LV3 ,2,8,,,,,
5/15/2023,C2 ,39,A ,CP2 ,6,5,,,,,
5/15/2023,C2 ,39,B ,SC ,3,1,,,,,
5/15/2023,C2 ,40,A ,YO11 ,5,8,,,,,
5/15/2023,C2 ,40,B ,CP3 ,2,4,,,,,
5/15/2023,C2 ,41,A ,LVTR1 ,6,9,,,,,
5/15/2023,C2 ,41,B ,FR ,1,8,,,,,
5/15/2023,C2 ,42,A ,SQ2 ,1,11,,,,,
5/15/2023,C2 ,42,B ,LVTR1 ,3,11,,,,,
5/15/2023,C2 ,43,A ,SQ3 ,1,3,,,,,
5/15/2023,C2 ,43,B ,SQ2 ,4,8,,,,,
5/15/2023,C2 ,44,A ,WV ,4,9,,,,,
5/15/2023,C2 ,44,B ,WV ,2,1,,,,,
5/15/2023,C1 ,1,C ,YO4 ,2,10,5.5,3.8,Y,SW,mold/fungi
5/15/2023,C1 ,1,D ,CC ,7,7,,,,,
5/15/2023,C1 ,2,C ,LV1 ,3,11,3.5,4.1,Y,N,
5/15/2023,C1 ,2,D ,WV ,6,11,,,,,
5/15/2023,C1 ,3,C ,YO7 ,2,5,,,,,
5/15/2023,C1 ,3,D ,SC ,7,6,,,,,
5/15/2023,C1 ,4,C ,SQ2 ,2,10,,,,,
5/15/2023,C1 ,4,D ,DPR ,3,3,,,,,
5/15/2023,C1 ,5,C ,CP3 ,7,2,5.4,4.1,Y ,N ,
5/15/2023,C1 ,5,D ,YO7 ,3,11,,,,,
5/15/2023,C1 ,6,C ,LV1 ,6,7,,,,,
5/15/2023,C1 ,6,D ,SC ,2,7,,,,,
5/15/2023,C1 ,7,C ,YO4 ,6,10,,,,,
5/15/2023,C1 ,7,D ,LV1 ,5,3,,,,,
5/15/2023,C1 ,8,C ,YO4 ,7,13,4.1,4.2,N,W,
5/15/2023,C1 ,8,D ,LV3 ,3,10,,,,,
5/15/2023,C1 ,9,C ,SQ2 ,5,9,8.5,5.5,N,N,
5/15/2023,C1 ,9,D ,WL2 ,7,4,4.8,4.4,Y,N,severe herbivory
5/15/2023,C1 ,10,C ,LV1 ,1,5,,,,,
5/15/2023,C1 ,10,D ,LV1 ,7,11,,,,,
5/15/2023,C1 ,11,C ,WV ,2,12,,,,,
5/15/2023,C1 ,11,D ,CC ,2,8,,,,,
5/15/2023,C1 ,12,C ,SQ1 ,4,6,,,,,
5/15/2023,C1 ,12,D ,CP3 ,4,6,,,,,
