survey date,block ,row ,col ,pop ,mf ,rep ,height (cm) ,longest leaf (cm) ,herbivory (Y or N) ,wilting status ,Notes 
5/8/23,D2 ,25,D ,FR ,6,10,,,,,
5/8/23,D2 ,26,C ,WL1 ,4,11,,,,,
5/8/23,D2 ,26,D ,SC ,5,11,,,,,
5/8/23,D2 ,27,C ,BH ,7,5,,,,,
5/8/23,D2 ,27,D ,SC ,4,10,,,,,
5/8/23,D2 ,28,C ,FR ,2,9,,,,,
5/8/23,D2 ,28,D ,FR ,1,6,,,,,
5/8/23,D2 ,29,C ,BH ,4,13,13.3,5.8,N ,N ,
5/8/23,D2 ,29,D ,BH ,2,9,15.8,6.6,N ,N ,
5/8/23,D2 ,30,C ,CP2 ,5,2,,,,,
5/8/23,D2 ,30,D ,BH ,1,10,,,,,
5/8/23,D2 ,31,C ,SQ1 ,1,11,,,,,
5/8/23,D2 ,31,D ,LVTR1 ,6,5,,,,,
5/8/23,D2 ,32,C ,LV3 ,7,1,,,,,
5/8/23,D2 ,32,D ,WL1 ,3,9,,,,,
5/8/23,D2 ,33,C ,CP3 ,12,1,,,,,
5/8/23,D2 ,33,D ,BH ,5,10,,,,,
5/8/23,D2 ,34,C ,WL1 ,7,12,,,,,
5/8/23,D2 ,34,D ,SQ1 ,6,4,,,,,
5/8/23,D2 ,35,C ,SC ,6,11,,,,,
5/8/23,D2 ,35,D ,BH ,3,6,35.2,5.8,Y ,W ,
5/8/23,D2 ,36,C ,IH ,4,1,,,,,
5/8/23,D2 ,36,D ,WL1 ,6,5,,,,,
5/8/23,D2 ,37,C ,SQ1 ,7,4,,,,,
5/8/23,D2 ,37,D ,LV3 ,5,11,,,,,
5/8/23,D2 ,38,C ,YO7 ,2,10,,,,,
5/8/23,D2 ,38,D ,SC ,2,1,,,,,
5/8/23,D2 ,39,C ,WL1 ,7,16,,,,,
5/8/23,D2 ,39,D ,WL1 ,6,21,,,,,
5/8/23,D2 ,40,C ,TM2 ,2,1,,,,,
5/8/23,D2 ,40,D ,YO7 ,7,11,,,,,
5/8/23,D2 ,41,C ,WL1 ,7,2,,,,,
5/8/23,D2 ,41,D ,IH ,2,9,,,,,
5/8/23,D2 ,42,C ,buffer ,,,,,,,
5/8/23,D2 ,42,D ,buffer ,,,,,,,
5/8/23,D2 ,43,C ,buffer ,,,,,,,
5/8/23,D2 ,43,D ,buffer ,,,,,,,
5/8/23,F1 ,1,A ,buffer ,,,,,,,
5/8/23,F1 ,1,B ,buffer ,,,,,,,
5/8/23,F1 ,2,A ,buffer ,,,,,,,
5/8/23,F1 ,2,B ,buffer ,,,,,,,
5/8/23,F1 ,3,A ,LV1 ,6,6,,,,,
5/8/23,F1 ,3,B ,CP2 ,5,13,,,,,
5/8/23,F1 ,4,A ,SQ2 ,6,4,,,,,
5/8/23,F1 ,4,B ,SQ3 ,3,4,,,,,
5/8/23,F1 ,5,A ,WL1 ,4,2,,,,,
5/8/23,F1 ,5,B ,LVTR1 ,6,12,,,,,
5/8/23,F1 ,6,A ,CP2 ,4,4,,,,,
5/8/23,F1 ,6,B ,WL2 ,4,1,,,,,
5/8/23,F1 ,7,A ,LV3 ,1,8,,,,,
5/8/23,F1 ,7,B ,IH ,4,20,,,,,
5/8/23,F1 ,8,A ,TM2 ,2,2,,,,,
5/8/23,F1 ,8,B ,SC ,5,13,,,,,
5/8/23,F1 ,9,A ,DPR ,2,5,,,,,
5/8/23,F1 ,9,B ,YO8 ,2,11,,,,,
5/8/23,F1 ,10,A ,BH ,7,19,,,,,
5/8/23,F1 ,10,B ,WL1 ,1,5,,,,,
5/8/23,F1 ,11,A ,FR ,5,9,,,,,
5/8/23,F1 ,11,B ,WL1 ,2,12,,,,,
5/8/23,F1 ,12,A ,CC ,6,3,,,,,
5/8/23,F1 ,12,B ,TM2 ,1,3,,,,,
5/8/23,F1 ,13,A ,SC ,6,12,,,,,
5/8/23,F1 ,13,B ,WL1 ,7,27,,,,,
5/8/23,F1 ,14,A ,IH ,4,12,,,,,
5/8/23,F1 ,14,B ,WL1 ,7,17,,,,,
5/8/23,F1 ,15,A ,BH ,6,9,51.3,8.6,Y ,N ,
5/8/23,F1 ,15,B ,SQ1 ,1,12,,,,,
5/8/23,F1 ,16,A ,WL1 ,2,2,,,,,
5/8/23,F1 ,16,B ,FR ,2,4,,,,,
5/8/23,F1 ,17,A ,WL1 ,6,22,,,,,
5/8/23,F1 ,17,B ,BH ,2,10,,,,,
5/8/23,F1 ,18,A ,WL1 ,5,8,,,,,
5/8/23,F1 ,18,B ,WL1 ,1,22,,,,,
5/8/23,F1 ,19,A ,WL2 ,5,11,,,,,
5/8/23,F1 ,19,B ,WL2 ,1,1,,,,,
5/8/23,F1 ,20,A ,LV3 ,7,2,,,,,
5/8/23,F1 ,20,B ,CC ,2,4,,,,,
5/8/23,F1 ,21,A ,CC ,4,13,,,,,
5/8/23,F1 ,21,B ,LV3 ,5,12,,,,,
5/8/23,F2 ,22,A ,WL1 ,7,18,,,,,
5/8/23,F2 ,22,B ,buffer ,,,,,,,
5/8/23,F2 ,23,A ,WL1 ,2,3,,,,,
5/8/23,F2 ,23,B ,CP3 ,7,1,,,,,
5/8/23,F2 ,24,A ,TM2 ,3,13,,,,,
5/8/23,F2 ,24,B ,LVTR1 ,5,13,,,,,
5/8/23,F2 ,25,A ,YO8 ,1,10,,,,,
5/8/23,F2 ,25,B ,WL1 ,6,7,,,,,
5/8/23,F2 ,26,A ,SQ1 ,1,13,,,,,
5/8/23,F2 ,26,B ,WR ,1,11,,,,,
5/8/23,F2 ,27,A ,BH ,7,7,,,,,
5/8/23,F2 ,27,B ,WL2 ,3,13,3.3,2.9,N ,N ,
5/8/23,F2 ,28,A ,BH ,5,2,,,,,
5/8/23,F2 ,28,B ,WL1 ,6,23,,,,,
5/8/23,F2 ,29,A ,FR ,8,1,,,,,
5/8/23,F2 ,29,B ,BH ,4,5,14.6,7.6,N ,N ,
5/8/23,F2 ,30,A ,YO7 ,4,4,,,,,
5/8/23,F2 ,30,B ,WL1 ,7,28,,,,,
5/8/23,F2 ,31,A ,CC ,7,8,,,,,
5/8/23,F2 ,31,B ,SC ,6,1,,,,,
5/8/23,F2 ,32,A ,DPR ,6,2,,,,,
5/8/23,F2 ,32,B ,LV3 ,5,1,,,,,
5/8/23,F2 ,33,A ,IH ,1,12,,,,,
5/8/23,F2 ,33,B ,WL1 ,4,3,,,,,
5/8/23,F2 ,34,A ,IH ,4,13,,,,,
5/8/23,F2 ,34,B ,YO7 ,5,5,,,,,
5/8/23,F2 ,35,A ,LV3 ,7,3,,,,,
5/8/23,F2 ,35,B ,WL1 ,1,23,,,,,
5/8/23,F2 ,36,A ,FR ,2,12,,,,,
5/8/23,F2 ,36,B ,CP2 ,3,5,,,,,
5/8/23,F2 ,37,A ,LV3 ,4,13,,,,,
5/8/23,F2 ,37,B ,SQ1 ,7,14,,,,,
5/8/23,F2 ,38,A ,CP2 ,6,4,,,,,
5/8/23,F2 ,38,B ,SC ,4,1,,,,,
5/8/23,F2 ,39,A ,TM2 ,3,2,,,,,
5/8/23,F2 ,39,B ,SC ,5,1,,,,,
5/8/23,F2 ,40,A ,BH ,3,8,,,,,
5/8/23,F2 ,40,B ,BH ,5,12,18.7,7.6,Y ,N ,
5/8/23,F2 ,41,A ,DPR ,2,4,,,,,
5/8/23,F2 ,41,B ,buffer ,,,,,,,
5/8/23,F2 ,42,A ,buffer ,,,,,,,
5/8/23,F2 ,42,B ,buffer ,,,,,,,
5/8/23,F2 ,43,A ,buffer ,,,,,,,
5/8/23,F2 ,43,B ,buffer ,,,,,,,
5/8/23,F1 ,1,C ,buffer ,,,,,,,
5/8/23,F1 ,1,D ,buffer ,,,,,,,
5/8/23,F1 ,2,C ,buffer ,,,,,,,
5/8/23,F1 ,2,D ,buffer ,,,,,,,
5/8/23,F1 ,3,C ,BH ,5,16,,,,,
5/8/23,F1 ,3,D ,SQ1 ,2,8,,,,,
5/8/23,F1 ,4,C ,TM2 ,5,7,73.6,4.3,Y ,N ,
5/8/23,F1 ,4,D ,LV3 ,6,9,,,,,
5/8/23,F1 ,5,C ,BH ,5,26,,,,,
5/8/23,F1 ,5,D ,YO4 ,1,13,,,,,
5/8/23,F1 ,6,C ,DPR ,6,9,,,,,
5/8/23,F1 ,6,D ,LV3 ,4,9,,,,,
5/8/23,F1 ,7,C ,IH ,1,10,,,,,
5/8/23,F1 ,7,D ,BH ,7,6,,,,,
5/8/23,F1 ,8,C ,WL1 ,6,6,,,,,
5/8/23,F1 ,8,D ,WL1 ,2,16,,,,,
5/8/23,F1 ,9,C ,SC ,2,13,,,,,
5/8/23,F1 ,9,D ,TM2 ,5,13,,,,,
5/8/23,F1 ,10,C ,YO7 ,3,1,,,,,
5/8/23,F1 ,10,D ,CP3 ,2,3,,,,,
5/8/23,F1 ,11,C ,WR ,2,8,,,,,
5/8/23,F1 ,11,D ,IH ,4,2,,,,,
5/8/23,F1 ,12,C ,SQ1 ,7,5,,,,,
5/8/23,F1 ,12,D ,FR ,4,7,,,,,
5/8/23,F1 ,13,C ,BH ,3,7,,,,,
5/8/23,F1 ,13,D ,FR ,7,10,,,,,
5/8/23,F1 ,14,C ,YO11 ,3,3,,,,,
5/8/23,F1 ,14,D ,YO7 ,7,13,,,,,
5/8/23,F1 ,15,C ,BH ,4,4,,,,,
5/8/23,F1 ,15,D ,IH ,7,4,,,,,
5/8/23,F1 ,16,C ,LV3 ,2,5,,,,,
5/8/23,F1 ,16,D ,SQ2 ,7,6,,,,,
5/8/23,F1 ,17,C ,WL1 ,4,12,,,,,
5/8/23,F1 ,17,D ,CC ,3,13,,,,,
5/8/23,F1 ,18,C ,CP2 ,1,4,,,,,
5/8/23,F1 ,18,D ,SC ,4,13,,,,,
5/8/23,F1 ,19,C ,WL1 ,7,3,,,,,
5/8/23,F1 ,19,D ,LVTR1 ,1,10,,,,,
5/8/23,F1 ,20,C ,BH ,5,11,,,,,
5/8/23,F1 ,20,D ,BH ,5,1,,,,,
5/8/23,F1 ,21,C ,buffer ,,,,,,,
5/8/23,F1 ,21,D ,WL1 ,7,13,,,,,
5/8/23,F2 ,22,C ,buffer ,,,,,,,
5/8/23,F2 ,22,D ,buffer ,,,,,,,
5/8/23,F2 ,23,C ,IH ,4,21,,,,,
5/8/23,F2 ,23,D ,WL1 ,4,13,,,,,
5/8/23,F2 ,24,C ,CC ,1,6,,,,,
5/8/23,F2 ,24,D ,WL2 ,4,3,,,,,
5/8/23,F2 ,25,C ,BH ,7,20,,,,,
5/8/23,F2 ,25,D ,FR ,1,10,,,,,
5/8/23,F2 ,26,C ,WL1 ,3,2,,,,,
5/8/23,F2 ,26,D ,SQ1 ,7,6,,,,,
5/8/23,F2 ,27,C ,WL1 ,2,13,,,,,
5/8/23,F2 ,27,D ,SQ1 ,3,4,,,,,
5/8/23,F2 ,28,C ,LV3 ,1,9,,,,,
5/8/23,F2 ,28,D ,YO4 ,4,4,,,,,
5/8/23,F2 ,29,C ,SQ1 ,1,1,,,,,
5/8/23,F2 ,29,D ,CC ,4,8,,,,,
5/8/23,F2 ,30,C ,IH ,4,3,,,,,
5/8/23,F2 ,30,D ,WL1 ,1,6,,,,,
5/8/23,F2 ,31,C ,BH ,6,10,,,,,
5/8/23,F2 ,31,D ,YO11 ,6,7,,,,,
5/8/23,F2 ,32,C ,WL1 ,7,4,,,,,
5/8/23,F2 ,32,D ,WL1 ,2,17,,,,,
5/8/23,F2 ,33,C ,BH ,5,17,,,,,
5/8/23,F2 ,33,D ,BH ,2,11,,,,,
5/8/23,F2 ,34,C ,SQ2 ,6,6,,,,,
5/8/23,F2 ,34,D ,CC ,3,12,,,,,
5/8/23,F2 ,35,C ,BH ,5,27,,,,,
5/8/23,F2 ,35,D ,BH ,2,1,12.2,6.9,Y ,N ,
5/8/23,F2 ,36,C ,LV3 ,8,5,,,,,
5/8/23,F2 ,36,D ,CC ,7,1,,,,,
5/8/23,F2 ,37,C ,LV3 ,3,2,,,,,
5/8/23,F2 ,37,D ,LV3 ,5,13,,,,,
5/8/23,F2 ,38,C ,SQ2 ,5,5,,,,,
5/8/23,F2 ,38,D ,SQ3 ,3,2,,,,,
5/8/23,F2 ,39,C ,CP2 ,4,6,,,,,
5/8/23,F2 ,39,D ,IH ,7,5,,,,,
5/8/23,F2 ,40,C ,DPR ,7,4,,,,,
5/8/23,F2 ,40,D ,TM2 ,1,4,26.5,2.8,N ,W ,
5/8/23,F2 ,41,C ,FR ,5,13,,,,,
5/8/23,F2 ,41,D ,CP2 ,9,3,,,,,
5/8/23,F2 ,42,C ,buffer ,,,,,,,
5/8/23,F2 ,42,D ,buffer ,,,,,,,
5/8/23,F2 ,43,C ,buffer ,,,,,,,
5/8/23,F2 ,43,D ,buffer ,,,,,,,
5/8/23,H1 ,1,A ,buffer ,,,,,,,
5/8/23,H1 ,1,B ,buffer ,,,,,,,
5/8/23,H1 ,2,A ,buffer ,,,,,,,
5/8/23,H1 ,2,B ,buffer ,,,,,,,
5/8/23,H1 ,3,A ,BH ,7,8,,,,,
5/8/23,H1 ,3,B ,SQ2 ,1,10,,,,,
5/8/23,H1 ,4,A ,YO7 ,2,9,,,,,
5/8/23,H1 ,4,B ,BH ,2,12,20.8,7.1,Y ,N ,
5/8/23,H1 ,5,A ,SQ1 ,7,15,,,,,
5/8/23,H1 ,5,B ,SC ,4,2,33.5,9,Y ,W ,
5/8/23,H1 ,6,A ,WL1 ,6,24,,,,,
5/8/23,H1 ,6,B ,LV3 ,5,2,,,,,
5/8/23,H1 ,7,A ,WR ,2,7,,,,,
5/8/23,H1 ,7,B ,SQ1 ,1,2,,,,,
5/8/23,H1 ,8,A ,LV3 ,4,2,,,,,
5/8/23,H1 ,8,B ,BH ,3,9,36.1,8.1,Y ,N ,
5/8/23,H1 ,9,A ,WL1 ,6,8,,,,,
5/8/23,H1 ,9,B ,LV3 ,7,5,,,,,
5/8/23,H1 ,10,A ,WL2 ,4,4,11.5,2.9,Y ,N ,
5/8/23,H1 ,10,B ,WL1 ,1,24,,,,,
5/8/23,H1 ,11,A ,WL1 ,2,4,,,,,
5/8/23,H1 ,11,B ,CC ,7,2,,,,,
5/8/23,H1 ,12,A ,YO8 ,3,5,,,,,
5/8/23,H1 ,12,B ,FR ,2,8,17.6,4.4,Y ,W ,
5/8/23,H1 ,13,A ,LVTR1 ,3,10,,,,,
5/8/23,H1 ,13,B ,CP2 ,3,3,6.7,3.2,Y ,W ,
5/8/23,H1 ,14,A ,BH ,5,3,21.6,6.9,Y ,W ,
5/8/23,H1 ,14,B ,WL1 ,5,11,,,,,
5/8/23,H1 ,15,A ,CP2 ,8,1,,,,,
5/8/23,H1 ,15,B ,CC ,3,3,,,,,
5/8/23,H1 ,16,A ,CC ,4,10,15.1,4.8,N ,SW ,
5/8/23,H1 ,16,B ,CC ,6,6,,,,,
5/8/23,H1 ,17,A ,BH ,4,6,,,,,
5/8/23,H1 ,17,B ,DPR ,5,2,42.2,2.5,N ,SW ,
5/8/23,H1 ,18,A ,FR ,1,11,,,,,
5/8/23,H1 ,18,B ,BH ,5,18,,,,,
5/8/23,H1 ,19,A ,TM2 ,5,1,69.1,3.8,N ,SW ,
5/8/23,H1 ,19,B ,SQ1 ,7,7,,,,,
5/8/23,H1 ,20,A ,FR ,6,3,,,,,
5/8/23,H1 ,20,B ,IH ,1,9,,,,,
5/8/23,H2 ,21,A ,CC ,3,5,,,,,
5/8/23,H2 ,21,B ,buffer ,,,,,,,
5/8/23,H2 ,22,A ,SQ2 ,8,3,,,,,
5/8/23,H2 ,22,B ,IH ,1,11,,,,,
5/8/23,H2 ,23,A ,YO7 ,2,3,,,,,
5/8/23,H2 ,23,B ,WL1 ,1,15,,,,,
5/8/23,H2 ,24,A ,WR ,1,1,,,,,
5/8/23,H2 ,24,B ,BH ,5,29,48.3,8.1,Y ,W ,
5/8/23,H2 ,25,A ,IH ,4,5,10.1,6.3,N ,SW ,
5/8/23,H2 ,25,B ,WL1 ,7,20,,,,,
5/8/23,H2 ,26,A ,DPR ,4,13,,,,,
5/8/23,H2 ,26,B ,LV3 ,1,14,,,,,
5/8/23,H2 ,27,A ,BH ,5,4,,,,,
5/8/23,H2 ,27,B ,SQ1 ,4,2,,,,,
5/8/23,H2 ,28,A ,WL1 ,1,8,,,,,
5/8/23,H2 ,28,B ,SC ,5,4,,,,,
5/8/23,H2 ,29,A ,IH ,7,14,12.5,7.9,Y ,W ,
5/8/23,H2 ,29,B ,BH ,5,19,,,,,
5/8/23,H2 ,30,A ,WL1 ,2,5,,,,,
5/8/23,H2 ,30,B ,WL1 ,1,25,,,,,
5/8/23,H2 ,31,A ,SQ1 ,7,8,,,,,
5/8/23,H2 ,31,B ,YO8 ,3,6,,,,,
5/8/23,H2 ,32,A ,YO11 ,2,3,,,,,
5/8/23,H2 ,32,B ,SQ2 ,1,13,,,,,
5/8/23,H2 ,33,A ,BH ,3,10,,,,,
5/8/23,H2 ,33,B ,BH ,4,7,20.8,10.7,Y ,N ,
5/8/23,H2 ,34,A ,SC ,4,3,,,,,
5/8/23,H2 ,34,B ,CC ,4,7,,,,,
5/8/23,H2 ,35,A ,TM2 ,5,5,,,,,
5/8/23,H2 ,35,B ,CC ,6,5,,,,,
5/8/23,H2 ,36,A ,LV3 ,1,1,,,,,
5/8/23,H2 ,36,B ,TM2 ,3,1,62.6,5.8,Y ,W ,
5/8/23,H2 ,37,A ,LV3 ,6,4,,,,,
5/8/23,H2 ,37,B ,FR ,6,7,,,,,
5/8/23,H2 ,38,A ,CP3 ,5,9,,,,,
5/8/23,H2 ,38,B ,FR ,3,5,,,,,
5/8/23,H2 ,39,A ,BH ,7,9,,,,,
5/8/23,H2 ,39,B ,BH ,6,2,,,,,
5/8/23,H2 ,40,A ,buffer ,,,,,,,
5/8/23,H2 ,40,B ,buffer ,,,,,,,
5/8/23,H2 ,41,A ,buffer ,,,,,,,
5/8/23,H2 ,41,B ,buffer ,,,,,,,
5/8/23,H1 ,1,C ,buffer ,,,,,,,
5/8/23,H1 ,1,D ,buffer ,,,,,,,
5/8/23,H1 ,2,C ,buffer ,,,,,,,
5/8/23,H1 ,2,D ,buffer ,,,,,,,
5/8/23,H1 ,3,C ,WL1 ,1,14,,,,,
5/8/23,H1 ,3,D ,IH ,4,4,,,,,
5/8/23,H1 ,4,C ,SC ,6,2,,,,,
5/8/23,H1 ,4,D ,WL2 ,3,7,,,,,
5/8/23,H1 ,5,C ,BH ,5,28,,,,,
5/8/23,H1 ,5,D ,SQ2 ,6,7,,,,,
5/8/23,H1 ,6,C ,TM2 ,1,5,50.3,3.8,N ,D ,dead 
5/8/23,H1 ,6,D ,LV3 ,4,1,,,,,
5/8/23,H1 ,7,C ,DPR ,2,10,,,,,
5/8/23,H1 ,7,D ,CP3 ,9,1,,,,,
5/8/23,H1 ,8,C ,SQ1 ,6,7,,,,,
5/8/23,H1 ,8,D ,YO11 ,5,13,,,,,
5/8/23,H1 ,9,C ,IH ,4,22,,,,,
5/8/23,H1 ,9,D ,CC ,2,2,,,,,
5/8/23,H1 ,10,C ,BH ,6,11,34,7.2,Y ,N ,
5/8/23,H1 ,10,D ,WL1 ,7,5,8.4,3.1,N ,D ,dead 
5/8/23,H1 ,11,C ,WL1 ,1,7,,,,,
