block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes , 
C1 ,18,B ,IH ,2,2,X ,,,,,,,,,,,,
C1 ,19,A ,WR ,1,12,X ,,,,,,,,,,,,
C1 ,19,B ,YO8 ,5,5,X ,,,,,,,,,,,,
C1 ,20,A ,LVTR1 ,4,10,X ,,,,,,,,,,,,
C1 ,20,B ,CC ,4,12,X,,,,,,,,,,,,
C1 ,21,A ,WL2 ,4,13,X,,,,,,,,,,,,
C1 ,21,B ,SQ3 ,3,8,X,,,,,,,,,,,,
C1 ,22,A ,IH ,3,7,X,,,,,,,,,,,,
C1 ,22,B ,WV ,5,8,X,,,,,,,,,,,,
C2 ,23,A ,YO7 ,2,12,X,,,,,,,,,,,,
C2 ,23,B ,WV ,7,3,X,,,,,,,,,,,,
C2 ,24,A ,LV1 ,1,10,V ,2.3,2.4,1,N ,N ,3.5,,,,,white fungus ,
C2 ,24,B ,CC ,4,2,X ,,,,,,,,,,,,
C2 ,25,A ,SC ,5,6,X ,,,,,,,,,,,,
C2 ,25,B ,YO8 ,1,8,X ,,,,,,,,,,,,
C2 ,26,A ,WV ,5,13,X,,,,,,,,,,,,
C2 ,26,B ,DPR ,1,10,X ,,,,,,,,,,,,
C2 ,27,A ,LVTR1 ,1,1,X,,,,,,,,,,,,
C2 ,27,B ,YO11 ,4,4,X ,,,,,,,,,,,,
C2 ,28,A ,LV1 ,2,13,X ,,,,,,,,,,,,
C2 ,28,B ,CC ,5,10,X ,,,,,,,,,,,,
C2 ,29,A ,WL1 ,5,9,X ,,,,,,,,,,,,
C2 ,29,B ,YO7 ,7,3,X ,,,,,,,,,,,,
C2 ,30,A ,WL2 ,3,11,X ,,,,,,,,,,,,
C2 ,30,B ,WV ,3,5,X ,,,,,,,,,,,,
C2 ,31,A ,FR ,7,8,X ,,,,,,,,,,,,
C2 ,31,B ,IH ,3,12,V ,10.5,16.3,2,Y,N,11.7,,,,,side branch proxy ,
C2 ,32,A ,SQ3 ,6,11,X ,,,,,,,,,,,,
C2 ,32,B ,TM2 ,6,4,X ,,,,,,,,,,,,
C2 ,33,A ,LV1 ,6,12,X,,,,,,,,,,,,
C2 ,33,B ,TM2 ,7,9,X ,,,,,,,,,,,,
C2 ,34,A ,YO7 ,4,5,X ,,,,,,,,,,,,
C2 ,34,B ,DPR ,5,4,X ,,,,,,,,,,,,
C2 ,35,A ,YO7 ,1,5,X ,,,,,,,,,,,,
C2 ,35,B ,YO8 ,7,8,X ,,,,,,,,,,,,
C2 ,36,A ,WR ,2,5,X ,,,,,,,,,,,,
C2 ,36,B ,FR ,3,12,X ,,,,,,,,,,,,
C2 ,37,A ,SQ3 ,5,7,X,,,,,,,,,,,,
