block,row,col,pop,mf,rep,height (cm),longest leaf (cm),herbivory (Y or N),Notes
F2,40,B,BH,5,12,3.5,3.4,Y,
F2,41,A,DPR,2,4,4.2,2.8,Y,wilted
F2,41,B,buffer,,,,,,
F2,42,A,buffer,,,,,,
F2,42,B,buffer,,,,,,
F2,43,A,buffer,,,,,,
F2,43,B,buffer,,,,,,
F1,1,C,buffer,,,,,,
F1,1,D,buffer,,,,,,
F1,2,C,buffer,,,,,,
F1,2,D,buffer,,,,,,
F1,3,C,BH,5,16,2.8,2.9,Y,wilted
F1,3,D,SQ1,2,8,-,-,-,Dead
F1,4,C,TM2,5,7,11.2,4.1,Y,
F1,4,D,LV3,6,9,1.4,1.9,N,
F1,5,C,BH,5,26,3,3.6,Y,
F1,5,D,YO4,1,13,-,-,-,Dead
F1,6,C,DPR,6,9,2.4,1.2,N,
F1,6,D,LV3,4,9,-,-,-,Dead
F1,7,C,IH,1,10,1.3,1.8,Y,
F1,7,D,BH,7,6,3.2,1.9,N,
F1,8,C,WL1,6,6,-,-,-,Dead
F1,8,D,WL1,2,16,2.5,2.8,N,
F1,9,C,SC,2,13,-,-,-,Dead
F1,9,D,TM2,5,13,-,-,-,Dead
F1,10,C,YO7,3,1,-,-,-,Dead
F1,10,D,CP3,2,3,-,-,-,Dead
F1,11,C,WR,2,8,2.1,1.6,Y,
F1,11,D,IH,4,2,-,-,-,Dead
F1,12,C,SQ1,7,5,-,-,-,Dead
F1,12,D,FR,4,7,-,-,-,Dead
F1,13,C,BH,3,7,2.5,3.2,Y,
F1,13,D,FR,7,10,2.3,1.9,Y,wilted
F1,14,C,YO11,3,3,1.6,2,Y,
F1,14,D,YO7,7,13,-,-,-,Dead
F1,15,C,BH,4,4,3.7,2.5,N,
F1,15,D,IH,7,4,-,-,-,Dead
F1,16,C,LV3,2,5,1.6,1.4,Y,
F1,16,D,SQ2,7,6,-,-,-,Dead
F1,17,C,WL1,4,12,-,-,-,Dead
F1,17,D,CC,3,13,4.4,3,N,
F1,18,C,CP2,1,4,-,-,-,Dead
F1,18,D,SC,4,13,-,-,-,Dead
F1,19,C,WL1,7,3,0.8,2.1,Y,
F1,19,D,.VTR,1,10,-,-,-,Dead
F1,20,C,BH,5,11,4.9,2,Y,wilted
F1,20,D,BH,5,1,1.7,1.9,N,
F1,21,C,buffer,,,,,,
F1,21,D,WL1,7,13,4.1,2.1,N,
F2,22,C,buffer,,,,,,
F2,22,D,buffer,,,,,,
F2,23,C,IH,4,21,2.6,1.4,Y,
F2,23,D,WL1,4,13,-,-,-,Dead
F2,24,C,CC,1,6,3.9,0.6,N,
F2,24,D,WL2,4,3,-,-,-,Dead
F2,25,C,BH,7,20,2.4,1.8,Y,
F2,25,D,FR,1,10,4.7,1.9,Y,
F2,26,C,WL1,3,2,-,-,-,Dead
F2,26,D,SQ1,7,6,2.6,2.4,Y,
F2,27,C,WL1,2,13,3.2,2.2,N,
F2,27,D,SQ1,3,4,-,-,-,Dead
F2,28,C,LV3,1,9,2,1.2,N,
F2,28,D,YO4,4,4,2,3.5,Y,
F2,29,C,SQ1,1,1,1.6,2.5,Y,
F2,29,D,CC,4,8,-,-,-,Dead
F2,30,C,IH,4,3,3,2.6,N,
F2,30,D,WL1,1,6,4.2,3,N,
F2,31,C,BH,6,10,3.1,1.8,Y,
F2,31,D,YO11,6,7,1,-,-,Dead
F2,32,C,WL1,7,4,1.4,2.9,Y,
F2,32,D,WL1,2,17,1.5,1.1,Y,
F2,33,C,BH,5,17,2.4,1.3,N,
F2,33,D,BH,2,11,2.9,2.3,Y,
F2,34,C,SQ2,6,6,0.2,3.8,N,
F2,34,D,CC,3,12,5.1,2.6,N,
F2,35,C,BH,5,27,3.3,3.5,N,
F2,35,D,BH,2,1,3.7,3.2,Y,
F2,36,C,LV3,8,5,1.1,1.5,N,
F2,36,D,CC,7,1,-,-,-,Dead
F2,37,C,LV3,3,2,2,0.3,N,
F2,37,D,LV3,5,13,),-,-,Dead
F2,38,C,SQ2,5,5,1.1,2.8,Y,
F2,38,D,SQ3,3,2,1.5,2.8,N,
F2,39,C,CP2,4,6,1.6,1.3,N,
F2,39,D,IH,7,5,-,-,-,Dead
F2,40,C,DPR,7,4,5.3,3.8,N,
F2,40,D,TM2,1,4,11,4,N,
F2,41,C,FR,5,13,1.4,3.5,N,
F2,41,D,CP2,9,3,3.2,1.9,N,wilted
F2,42,C,buffer,,,,,,
F2,42,D,buffer,,,,,,
F2,43,C,buffer,,,,,,
F2,43,D,buffer,,,,,,
H1,1,A,buffer,,,,,,
H1,1,B,buffer,,,,,,
H1,2,A,buffer,,,,,,
H1,2,B,buffer,,,,,,
H1,3,A,BH,7,8,-,-,-,dead
H1,3,B,SQ2,1,10,-,-,-,dead
H1,4,A,YO7,2,9,1,2,N,possible disease
H1,4,B,BH,2,12,5.2,4.3,Y,
H1,5,A,SQ1,7,15,2.3,3.1,N,
H1,5,B,SC,4,2,4.5,5,N,
H1,6,A,WL1,6,24,4.5,3.6,N,
H1,6,B,LV3,5,2,3,1.8,N,
H1,7,A,WR,2,7,4,2.9,N,
H1,7,B,SQ1,1,2,2.5,3.5,N,
H1,8,A,LV3,4,2,2.4,2.1,Y,
H1,8,B,BH,3,9,3,3.5,N,
H1,9,A,WL1,6,8,3,3,N,
H1,9,B,LV3,7,5,-,-,-,dead
H1,10,A,WL2,4,4,1.3,0.7,N,
H1,10,B,WL1,1,24,2.1,3.3,N,
H1,11,A,WL1,2,4,4.5,3,N,
H1,11,B,CC,7,2,7.8,4.3,N,
H1,12,A,YO8,3,5,3,2.3,N,
H1,12,B,FR,-2,8,5,2,Y,
H1,13,A,VTR,3,10,2.5,1.4,N,
H1,13,B,CP2,3,3,3,3.7,N,
H1,14,A,BH,5,3,7.5,5.5,N,
H1,14,B,WL1,5,11,2.9,1.8,N,possible root rot
H1,15,A,CP2,8,1,0.6,1.1,N,
H1,15,B,CC,3,3,6.1,4.1,Y,
H1,16,A,CC,4,10,6.1,2.5,N,
H1,16,B,CC,6,6,4.2,1.5,N,"likely dead, brown + wilted"
H1,17,A,BH,4,6,2.5,4,N,
H1,17,B,DPR,5,2,6.1,5.4,Y,
H1,18,A,FR,1,11,4.5,1.7,N,"wilted, near death"
H1,18,B,BH,5,18,3.7,4,N,
H1,19,A,TM2,5,1,6.1,5.8,N,
H1,19,B,SQ1,7,7,2.8,1.9,N,"wilted, near death"
H1,20,A,FR,6,3,4.3,3.2,Y,
H1,20,B,IH,1,9,5.1,5.4,N,
H2,21,A,CC,3,5,4.5,0.6,,
